date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:03:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Jul%202025%2007:03:45%20GMT	https://henpresscare.com/robots.txt		(from )
08:03:47	157178/157178	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2007:03:46%20GMT	https://henpresscare.com/new/	C:/My%20Web%20Sites/HenPressCare2/henpresscare.com/new/index.html	(from )
08:03:47	53499/53499	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Jun%202025%2009:33:22%20GMT	https://henpresscare.com/new/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1749548002	C:/My%20Web%20Sites/HenPressCare2/henpresscare.com/new/wp-content/uploads/elementor/css/custom-frontend.min2486.css	(from https://henpresscare.com/new/)
08:03:47	733/733	---M-Z	200	added ('OK')	application/rss+xml	etag:%226dd9dec866dde4494888bbb79f2c4c4a%22	https://henpresscare.com/new/comments/feed/	C:/My%20Web%20Sites/HenPressCare2/henpresscare.com/new/comments/feed/index.html	(from https://henpresscare.com/new/)
08:03:48	83416/83416	---MCZ	200	added ('OK')	application/rss+xml	etag:%226dd9dec866dde4494888bbb79f2c4c4a%22	https://henpresscare.com/new/feed/	C:/My%20Web%20Sites/HenPressCare2/henpresscare.com/new/feed/index.html	(from https://henpresscare.com/new/)
08:03:48	10297/10297	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Jun%202025%2009:33:22%20GMT	https://henpresscare.com/new/wp-content/uploads/elementor/css/custom-widget-icon-list.min.css?ver=1749548002	C:/My%20Web%20Sites/HenPressCare2/henpresscare.com/new/wp-content/uploads/elementor/css/custom-widget-icon-list.min2486.css	(from https://henpresscare.com/new/)
08:03:48	5150/5150	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jun%202025%2012:41:48%20GMT	https://henpresscare.com/new/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=3.29.2	C:/My%20Web%20Sites/HenPressCare2/henpresscare.com/new/wp-content/plugins/elementor/assets/css/widget-social-icons.min2801.css	(from https://henpresscare.com/new/)
08:03:48	7025/7025	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Jun%202025%2009:33:22%20GMT	https://henpresscare.com/new/wp-content/uploads/elementor/css/custom-apple-webkit.min.css?ver=1749548002	C:/My%20Web%20Sites/HenPressCare2/henpresscare.com/new/wp-content/uploads/elementor/css/custom-apple-webkit.min2486.css	(from https://henpresscare.com/new/)
08:03:51	22645/22645	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Jun%202025%2009:34:50%20GMT	https://henpresscare.com/new/wp-content/uploads/elementor/css/post-312.css?ver=1749634490	C:/My%20Web%20Sites/HenPressCare2/henpresscare.com/new/wp-content/uploads/elementor/css/post-31200f9.css	(from https://henpresscare.com/new/)
08:03:51	99008/99008	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Jun%202025%2009:31:44%20GMT	https://henpresscare.com/new/wp-content/uploads/elementor/css/post-871.css?ver=1749634304	C:/My%20Web%20Sites/HenPressCare2/henpresscare.com/new/wp-content/uploads/elementor/css/post-8711799.css	(from https://henpresscare.com/new/)
08:03:51	600/600	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jun%202025%2012:41:48%20GMT	https://henpresscare.com/new/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.29.2	C:/My%20Web%20Sites/HenPressCare2/henpresscare.com/new/wp-content/plugins/elementor/assets/css/widget-heading.min2801.css	(from https://henpresscare.com/new/)
08:03:52	4298/4298	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jun%202025%2012:41:48%20GMT	https://henpresscare.com/new/wp-content/plugins/elementor/assets/css/widget-divider.min.css?ver=3.29.2	C:/My%20Web%20Sites/HenPressCare2/henpresscare.com/new/wp-content/plugins/elementor/assets/css/widget-divider.min2801.css	(from https://henpresscare.com/new/)
08:03:52	19762/19762	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Jun%202025%2007:33:41%20GMT	https://henpresscare.com/new/wp-content/uploads/elementor/css/post-315.css?ver=1749627221	C:/My%20Web%20Sites/HenPressCare2/henpresscare.com/new/wp-content/uploads/elementor/css/post-315b037.css	(from https://henpresscare.com/new/)
08:03:52	13602/13602	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jun%202025%2012:23:11%20GMT	https://henpresscare.com/new/wp-content/themes/royal-elementor-kit/style.css?ver=1.0	C:/My%20Web%20Sites/HenPressCare2/henpresscare.com/new/wp-content/themes/royal-elementor-kit/style5152.css	(from https://henpresscare.com/new/)
08:03:52	1225/1225	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Jun%202025%2009:33:23%20GMT	https://henpresscare.com/new/wp-content/uploads/elementor/css/post-7.css?ver=1749548003	C:/My%20Web%20Sites/HenPressCare2/henpresscare.com/new/wp-content/uploads/elementor/css/post-74013.css	(from https://henpresscare.com/new/)
08:03:53	254/254	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jun%202025%2012:41:48%20GMT	https://henpresscare.com/new/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.29.2	C:/My%20Web%20Sites/HenPressCare2/henpresscare.com/new/wp-content/plugins/elementor/assets/css/widget-image.min2801.css	(from https://henpresscare.com/new/)
08:03:54	793/793	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jun%202025%2012:41:48%20GMT	https://henpresscare.com/new/wp-content/plugins/elementor/assets/css/widget-counter.min.css?ver=3.29.2	C:/My%20Web%20Sites/HenPressCare2/henpresscare.com/new/wp-content/plugins/elementor/assets/css/widget-counter.min2801.css	(from https://henpresscare.com/new/)
