date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:58:18	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Jul%202025%2006:58:18%20GMT	https://henpresscare.com/copy	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy.0.delayed	(from )
07:58:19	142361/142361	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2006:58:18%20GMT	https://henpresscare.com/copy/	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/index.html	(from )
07:58:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Jul%202025%2006:58:19%20GMT	https://henpresscare.com/robots.txt		(from )
07:58:20	45738/45738	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jun%202025%2020:18:31%20GMT	https://henpresscare.com/copy/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.11.2	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-content/themes/astra/assets/css/minified/main.min2720.css	(from https://henpresscare.com/copy/)
07:58:20	9786/9786	---MCZ	200	added ('OK')	application/rss+xml	etag:%22982871372c55ad56a27675732fa9a5f2%22	https://henpresscare.com/copy/feed/	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/feed/index.html	(from https://henpresscare.com/copy/)
07:58:20	1648/1648	---M-Z	200	added ('OK')	application/rss+xml	etag:%22982871372c55ad56a27675732fa9a5f2%22	https://henpresscare.com/copy/comments/feed/	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/comments/feed/index.html	(from https://henpresscare.com/copy/)
07:58:21	53358/53358	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jun%202025%2020:54:09%20GMT	https://henpresscare.com/copy/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.29.2	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-content/plugins/elementor/assets/css/frontend.min2801.css	(from https://henpresscare.com/copy/)
07:58:21	1164/1164	---M-Z	200	added ('OK')	text/css	date:Sat,%2005%20Jul%202025%2002:37:55%20GMT	https://henpresscare.com/copy/wp-content/uploads/elementor/css/post-7.css?ver=1751683075	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-content/uploads/elementor/css/post-7937b.css	(from https://henpresscare.com/copy/)
07:58:21	1409/1409	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jun%202025%2020:54:10%20GMT	https://henpresscare.com/copy/wp-content/plugins/elementor/assets/css/widget-image-box.min.css?ver=3.29.2	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-content/plugins/elementor/assets/css/widget-image-box.min2801.css	(from https://henpresscare.com/copy/)
07:58:21	254/254	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jun%202025%2020:54:10%20GMT	https://henpresscare.com/copy/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.29.2	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-content/plugins/elementor/assets/css/widget-image.min2801.css	(from https://henpresscare.com/copy/)
07:58:22	1680/1680	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jun%202025%2020:54:10%20GMT	https://henpresscare.com/copy/wp-content/plugins/elementor/assets/css/widget-testimonial.min.css?ver=3.29.2	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-content/plugins/elementor/assets/css/widget-testimonial.min2801.css	(from https://henpresscare.com/copy/)
07:58:22	27372/27372	---M-Z	200	added ('OK')	text/css	date:Sat,%2005%20Jul%202025%2002:37:55%20GMT	https://henpresscare.com/copy/wp-content/uploads/elementor/css/post-275.css?ver=1751683075	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-content/uploads/elementor/css/post-275937b.css	(from https://henpresscare.com/copy/)
07:58:22	108216/108216	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jun%202025%2020:56:17%20GMT	https://henpresscare.com/copy/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1749156977	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-content/uploads/elementor/google-fonts/css/robotof9f5.css	(from https://henpresscare.com/copy/)
07:58:23	25263/25263	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jun%202025%2020:56:26%20GMT	https://henpresscare.com/copy/wp-content/uploads/elementor/google-fonts/css/robotoslab.css?ver=1749156986	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-content/uploads/elementor/google-fonts/css/robotoslabb921.css	(from https://henpresscare.com/copy/)
07:58:23	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2009%20Jun%202023%2004:49:24%20GMT	https://henpresscare.com/copy/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://henpresscare.com/copy/)
07:58:24	25809/25809	---MCZ	200	added ('OK')	application/json	date:Wed,%2009%20Jul%202025%2006:58:23%20GMT	https://henpresscare.com/copy/wp-json/wp/v2/pages/275	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-json/wp/v2/pages/275.json	(from https://henpresscare.com/copy/)
07:58:24	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2028%20Aug%202023%2016:14:24%20GMT	https://henpresscare.com/copy/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-includes/js/jquery/jquery.minf43b.js	(from https://henpresscare.com/copy/)
07:58:25	787/787	---M--	403	error ('Forbidden')	text/html	date:Wed,%2009%20Jul%202025%2006:58:24%20GMT	https://henpresscare.com/copy/xmlrpc.php?rsd	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/xmlrpc.d0db0.delayed	(from https://henpresscare.com/copy/)
07:58:25	2051/2051	---M-Z	200	added ('OK')	application/json	date:Wed,%2009%20Jul%202025%2006:58:25%20GMT	https://henpresscare.com/copy/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhenpresscare.com%2Fcopy%2F	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-json/oembed/1.0/embedaa61.json	(from https://henpresscare.com/copy/)
07:58:26	2209/2209	---M-Z	200	added ('OK')	text/xml	date:Wed,%2009%20Jul%202025%2006:58:25%20GMT	https://henpresscare.com/copy/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhenpresscare.com%2Fcopy%2F&format=xml	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-json/oembed/1.0/embeddb93	(from https://henpresscare.com/copy/)
07:58:27	131563/131563	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2006:58:26%20GMT	https://henpresscare.com/copy/about/	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/about/index.html	(from https://henpresscare.com/copy/)
07:58:28	453272/453272	---MCZ	200	added ('OK')	application/json	date:Wed,%2009%20Jul%202025%2006:58:26%20GMT	https://henpresscare.com/copy/wp-json/	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-json/index.html	(from https://henpresscare.com/copy/)
07:58:28	86466/86466	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Jun%202025%2020:55:36%20GMT	https://henpresscare.com/copy/wp-content/uploads/2025/06/pexels-photo-4058376-1.jpeg	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-content/uploads/2025/06/pexels-photo-4058376-1.jpg	(from https://henpresscare.com/copy/)
07:58:29	134335/134335	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Jun%202025%2020:55:36%20GMT	https://henpresscare.com/copy/wp-content/uploads/2025/06/pexels-photo-7188547-1.jpeg	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-content/uploads/2025/06/pexels-photo-7188547-1.jpg	(from https://henpresscare.com/copy/)
07:58:30	69562/69562	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Jun%202025%2020:55:37%20GMT	https://henpresscare.com/copy/wp-content/uploads/2025/06/pexels-photo-3912959-1.jpeg	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-content/uploads/2025/06/pexels-photo-3912959-1.jpg	(from https://henpresscare.com/copy/)
07:58:30	140799/140799	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2006:58:28%20GMT	https://henpresscare.com/copy/offerings/	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/offerings/index.html	(from https://henpresscare.com/copy/)
07:58:30	126418/126418	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2006:58:28%20GMT	https://henpresscare.com/copy/blog/	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/blog/index.html	(from https://henpresscare.com/copy/)
07:58:30	148380/148380	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2006:58:30%20GMT	https://henpresscare.com/copy/contact/	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/contact/index.html	(from https://henpresscare.com/copy/)
07:58:31	5997/5997	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Jun%202025%2020:55:38%20GMT	https://henpresscare.com/copy/wp-content/uploads/2025/06/testimonial-skip-01.jpeg	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-content/uploads/2025/06/testimonial-skip-01.jpg	(from https://henpresscare.com/copy/)
07:58:32	199652/199652	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Jun%202025%2020:55:36%20GMT	https://henpresscare.com/copy/wp-content/uploads/2025/06/pexels-photo-6646774-1.jpeg	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-content/uploads/2025/06/pexels-photo-6646774-1.jpg	(from https://henpresscare.com/copy/)
07:58:32	86823/86823	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Jun%202025%2020:55:38%20GMT	https://henpresscare.com/copy/wp-content/uploads/2025/06/pexels-photo-8127501-1.jpeg	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-content/uploads/2025/06/pexels-photo-8127501-1.jpg	(from https://henpresscare.com/copy/)
07:58:33	103925/103925	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Jun%202025%2020:55:38%20GMT	https://henpresscare.com/copy/wp-content/uploads/2025/06/pexels-photo-7188919-1.jpeg	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/copy/wp-content/uploads/2025/06/pexels-photo-7188919-1.jpg	(from https://henpresscare.com/copy/)
07:58:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Jul%202025%2006:58:32%20GMT	https://henpresscare.com/about/	C:/My%20Web%20Sites/HenPressCare1/henpresscare.com/about/index.html	(from https://henpresscare.com/copy/)
